city_ascii,lat,lng,country,capital,population
Manaoag,16.0439,120.4856,Philippines,,76045
Southfield,42.4765,-83.2605,United States,,76025
Banska Bystrica,48.7353,19.1453,Slovakia,admin,76018
Saint-Maur-des-Fosses,48.7994,2.4997,France,,76010
Shkoder,42.0681,19.5119,Albania,admin,76000
Merouana,35.6333,5.9167,Algeria,,76000
Yanam,16.7333,82.2167,India,,76000
Sakon Nakhon,17.1564,104.1456,Thailand,admin,76000
Tailai,46.3909,123.4161,China,minor,75992
Toba Tek Singh,30.9711,72.4825,Pakistan,minor,75943
Villa Elisa,-25.3734,-57.5841,Paraguay,,75933
Sirnak,37.52,42.459,Turkey,admin,75932
Daytona Beach,29.1995,-81.0982,United States,,75924
Ciudad Real,38.9833,-3.9167,Spain,minor,75909
Rulin,26.3585,110.3117,China,minor,75900
Chateauguay,45.38,-73.75,Canada,,75891
Catacaos,-5.2653,-80.675,Peru,,75870
Pittsburg,38.0182,-121.8965,United States,,75868
Kengtung,21.2917,99.6083,Burma,,75865
Oshkosh,44.0227,-88.5619,United States,,75850
Espinal,4.2,-74.8333,Colombia,minor,75828
Gladbeck,51.5667,6.9667,Germany,,75799
Pilar,12.9244,123.6756,Philippines,,75793
Surendranagar,22.7,71.6833,India,,75755
Paranavai,-23.0728,-52.465,Brazil,minor,75750
Malappuram,11.042,76.0815,India,,75740
Kargilik,37.885,77.4131,China,minor,75730
Keratsini,37.9667,23.6167,Greece,minor,75721
Cadereyta Jimenez,25.6,-100,Mexico,minor,75721
Redmond,47.6763,-122.1169,United States,,75721
Laiyuan,39.3478,114.6808,China,minor,75701
Lod,31.95,34.9,Israel,,75700
Xaignabouli,19.25,101.75,Laos,admin,75700
Maghaghah,28.6483,30.8422,Egypt,,75657
Santa Rosa,15.4239,120.9389,Philippines,,75649
Sapiranga,-29.6378,-51.0069,Brazil,minor,75648
Hoorn,52.65,5.0667,Netherlands,minor,75645
Cherry Hill,39.9034,-74.9947,United States,,75641
San Pedro,-33.6792,-59.6669,Argentina,minor,75616
Arjona,10.2586,-75.3461,Colombia,minor,75615
Saratoga Springs,43.0674,-73.7775,United States,,75599
Jocotan,14.8167,-89.3833,Guatemala,minor,75578
Ain Temouchent,35.3,-1.1333,Algeria,admin,75558
Garhi,28.6317,77.3186,India,,75544
Cataguases,-21.3892,-42.6967,Brazil,minor,75540
Jablah,35.3621,35.9276,Syria,minor,75505
Ramla,31.9275,34.8625,Israel,admin,75500
Tres Coracoes,-21.6947,-45.2553,Brazil,minor,75485
Apple Valley,34.5352,-117.2109,United States,,75478
Carlisle,54.8947,-2.9364,United Kingdom,,75399
Mansfield,32.569,-97.1213,United States,,75398
Srivilliputtur,9.512,77.633,India,,75396
Kiyose,35.7857,139.5265,Japan,,75389
Xinglong,40.4146,117.493,China,minor,75381
Bhadarwah,32.98,75.7137,India,,75376
Ranaghat,23.18,88.58,India,,75365
Aviles,43.5561,-5.9083,Spain,,75351
Cheria,35.2667,7.75,Algeria,,75344
Ajaccio,41.9267,8.7369,France,admin,75343
South Shields,54.995,-1.43,United Kingdom,,75337
Kai,35.6608,138.5158,Japan,,75337
Bonab,37.3383,46.0539,Iran,minor,75332
Villa Carlos Paz,-31.4,-64.5167,Argentina,,75315
Ekpe,6.4,2.5333,Benin,,75313
Pawtucket,41.8744,-71.3743,United States,,75280
Landshut,48.5397,12.1508,Germany,minor,75272
Ardakan,32.3094,54.0186,Iran,minor,75271
Acacias,3.9878,-73.7597,Colombia,minor,75252
Frontera,26.926,-101.449,Mexico,minor,75242
Itapira,-22.4361,-46.8217,Brazil,minor,75234
Missouri City,29.563,-95.5365,United States,,75234
Nek'emte,9.0833,36.55,Ethiopia,,75219
Paracatu,-17.2217,-46.875,Brazil,minor,75216
Moussoro,13.6431,16.4919,Chad,admin,75210
Erbaa,40.6744,36.5681,Turkey,minor,75210
Tissemsilt,35.6078,1.8111,Algeria,admin,75197
Sehwan,26.4193,67.8594,Pakistan,,75167
Lagoa Santa,-19.6357,-43.8966,Brazil,minor,75145
Dongguan,39.0173,111.1267,China,minor,75135
Dhrangadhra,22.98,71.47,India,,75133
Kunitachi,35.6839,139.4414,Japan,,75133
Dayr al Balah,31.4178,34.3503,Gaza Strip,,75132
Pinamungahan,10.27,123.58,Philippines,,75131
East Kilbride,55.7644,-4.1769,United Kingdom,,75120
Teyateyaneng,-29.1511,27.7425,Lesotho,admin,75115
Broomfield,39.9542,-105.0526,United States,,75110
Zacatecoluca,13.5,-88.8667,El Salvador,admin,75100
Kpalime,6.9,0.6333,Togo,,75084
Newcastle under Lyme,53.0109,-2.2278,United Kingdom,,75082
Mawatagama,7.4322,80.4479,Sri Lanka,,75081
Burton upon Trent,52.8019,-1.6367,United Kingdom,,75074
Libon,13.3,123.4333,Philippines,,75073
Belleville,44.1667,-77.3833,Canada,,75052
Telemaco Borba,-24.3239,-50.6158,Brazil,minor,75042
Sidi Qacem,34.2167,-5.7,Morocco,,75037
Gangammapeta,18.498,83.9642,India,,75017
Puqiancun,23.5797,114.62,China,,75006
Khejroli,27.37,75.57,India,,75000
Afak,32.0889,45.2506,Iraq,minor,75000
Wisil,5.4281,48.1201,Somalia,,75000
Feriana,34.95,8.5667,Tunisia,,75000
Warabi,35.8256,139.6797,Japan,,74996
Bugallon,15.92,120.18,Philippines,,74962
Tocumen,9.0894,-79.3831,Panama,minor,74952
Chaykovskiy,56.7667,54.15,Russia,minor,74913
Panggezhuang,39.6336,116.3178,China,,74912
Bayreuth,49.9481,11.5783,Germany,minor,74907
Jaora,23.63,75.13,India,,74907
Kropotkin,45.4333,40.5667,Russia,minor,74893
Arba Minch',6.0333,37.55,Ethiopia,,74879
Gonen,40.1014,27.6514,Turkey,minor,74871
Fouchana,36.7,10.1667,Tunisia,,74868
Amakusa,32.4586,130.1931,Japan,,74861
Tura,25.52,90.22,India,,74858
Ambajogai,18.73,76.38,India,,74844
Palencia,14.6667,-90.3667,Guatemala,minor,74839
Detmold,51.9378,8.8833,Germany,minor,74835
Upington,-28.45,21.25,South Africa,,74834
Sinop,-11.8639,-55.5039,Brazil,minor,74831
Juchitan de Zaragoza,16.4333,-95.0167,Mexico,minor,74825
Paterna,39.5028,-0.4406,Spain,,74822
Dabra,25.8857,78.3322,India,,74807
Brick,40.06,-74.1099,United States,,74807
Ubud,-8.5069,115.2624,Indonesia,,74800
Sasagawa,37.2865,140.3727,Japan,,74778
La Paz,-30.75,-59.65,Argentina,minor,74762
Usol'ye-Sibirskoye,52.75,103.6333,Russia,minor,74762
Darhan,49.4867,105.9228,Mongolia,admin,74738
Darhan,49.6167,106.35,Mongolia,,74738
Urla,38.3222,26.7647,Turkey,minor,74736
Pozorrubio,16.12,120.55,Philippines,,74729
Toffo,6.85,2.0833,Benin,,74717
Esperanza,6.7167,124.5167,Philippines,,74696
Tanguieta,10.6167,1.2667,Benin,,74675
Tosu,33.3833,130.5,Japan,,74673
Benidorm,38.5342,-0.1314,Spain,,74663
Mirpur Mathelo,28.0167,69.5333,Pakistan,,74651
Cotorro,23.0261,-82.2475,Cuba,,74650
Janesville,42.6854,-89.0135,United States,,74640
Dalaguete,9.7612,123.5349,Philippines,minor,74596
Piracununga,-21.9961,-47.4258,Brazil,minor,74587
Ouro Preto,-20.3853,-43.5036,Brazil,minor,74558
Stakhanov,48.5681,38.6586,Ukraine,,74546
Cinisello Balsamo,45.55,9.2167,Italy,,74528
Dayong,22.4653,113.3004,China,,74516
Itahari,26.6667,87.2833,Nepal,,74501
Naro-Fominsk,55.3833,36.7667,Russia,minor,74493
Peda-Houeyogbe,6.45,1.9333,Benin,,74492
Katori,35.6833,140.0333,Japan,,74469
Kandori,35.6796,139.9062,Japan,,74469
Novotroitsk,51.2039,58.3114,Russia,minor,74469
San Marcos,29.8734,-97.9356,United States,,74469
Shancheng,34.7904,116.08,China,,74459
Bilecik,40.1431,29.9792,Turkey,admin,74457
San Antonio de Los Altos,10.3744,-66.9669,Venezuela,minor,74422
Assab,13.0078,42.7411,Eritrea,admin,74405
Gbawe,5.5769,-0.3104,Ghana,,74403
Skelleftea,64.65,20.85,Sweden,minor,74402
Balingasag,8.75,124.78,Philippines,,74385
Castrop-Rauxel,51.55,7.3167,Germany,,74370
Wandiwash,12.5,79.62,India,,74320
Ouake,9.6617,1.3847,Benin,,74289
Ramhormoz,31.2753,49.6044,Iran,minor,74285
Bongouanou,6.6517,-4.2041,Côte d’Ivoire,minor,74281
San Juan Opico,13.8833,-89.35,El Salvador,,74280
Zlin,49.2331,17.6669,Czechia,admin,74255
Miki,34.7936,134.9931,Japan,,74255
Uspantan,15.3458,-90.8694,Guatemala,minor,74244
Silao,20.9478,-101.4281,Mexico,minor,74242
San Marcos,13.5833,-89.2167,El Salvador,,74221
Camarillo,34.223,-119.0321,United States,,74210
Arnsberg,51.3833,8.0833,Germany,,74206
Izumiotsu,34.5,135.4,Japan,,74175
Caninde,-4.3589,-39.3119,Brazil,minor,74174
Eusebio,-3.89,-38.4508,Brazil,minor,74170
Mankono,8.0586,-6.1897,Côte d’Ivoire,minor,74165
Le Kram,36.8333,10.3167,Tunisia,,74132
Aprilia,41.5833,12.65,Italy,,74126
Okegawa,36.0057,139.5427,Japan,,74115
Meshgin Shahr,38.3906,47.6742,Iran,minor,74109
Al Qa'im,34.3925,40.9895,Iraq,minor,74100
Airdrie,51.2917,-114.0144,Canada,,74100
Balashov,51.5469,43.1733,Russia,,74057
Jackson,35.6538,-88.8354,United States,,74049
Cannes,43.5513,7.0128,France,,74040
Coatepeque,13.9167,-89.5,El Salvador,,74038
Pennepalli,14.1473,79.8477,India,,74037
Gudur,14.1473,79.8477,India,,74037
Dubna,56.7364,37.1625,Russia,minor,74032
Ayvalik,39.3167,26.6944,Turkey,minor,74030
Casoria,40.9,14.3,Italy,,74021
Pedro Brand,18.5667,-70.0911,Dominican Republic,,74016
Dothan,31.2336,-85.407,United States,,74002
Gravesend,51.4415,0.3685,United Kingdom,,74000
Ra`ananna,32.1833,34.8667,Israel,,74000
Brookes Point,8.78,117.83,Philippines,,73994
Tatebayashi,36.2448,139.5421,Japan,,73991
Kyotanabe,34.8144,135.7678,Japan,,73985
Sherman,33.6273,-96.6221,United States,,73984
Kahan,29.2982,68.9023,Pakistan,,73981
Sarai Alamgir,32.9,73.75,Pakistan,,73967
Singaparna,-7.3497,108.1106,Indonesia,minor,73965
Lauderhill,26.1605,-80.2241,United States,,73961
Le Bardo,36.8092,10.1406,Tunisia,,73953
Tatsunocho-tominaga,34.8508,134.5453,Japan,,73952
Majalengka,-6.8353,108.2278,Indonesia,minor,73948
Sarnia,42.9994,-82.3089,Canada,,73944
Pazardzhik,42.1935,24.3328,Bulgaria,admin,73931
Harrisonburg,38.4362,-78.8735,United States,,73926
Tamworth,52.633,-1.695,United Kingdom,,73924
Vlaardingen,51.9167,4.35,Netherlands,minor,73924
Brandenburg,52.4167,12.5333,Germany,minor,73921
Samundri,31.0625,72.9542,Pakistan,,73911
Dumangas,10.83,122.72,Philippines,,73899
Alicia,16.7787,121.6972,Philippines,,73874
Di An,10.9039,106.7678,Vietnam,minor,73859
Yurihonjo,39.3859,140.0488,Japan,,73840
Ain Oulmene,35.9167,5.3,Algeria,,73831
Cunhinga,-12.2333,16.7833,Angola,,73826
Bolingbrook,41.6901,-88.1021,United States,,73813
Haveri,14.7935,75.4045,India,,73805
Yelabuga,55.7667,52.0833,Russia,,73759
Ellicott City,39.2774,-76.8345,United States,,73737
Verkhnyaya Pyshma,56.9761,60.5944,Russia,minor,73727
Drohobych,49.35,23.5,Ukraine,minor,73682
Gouda,52.0181,4.7056,Netherlands,minor,73681
Tefe,-3.3539,-64.7108,Brazil,minor,73669
Tarn Taran,31.4519,74.9278,India,,73638
Nandi Hills,0.1037,35.1843,Kenya,,73626
Birobidzhan,48.8,132.9333,Russia,admin,73623
Mangalagiri,16.43,80.55,India,,73613
Joao Monlevade,-19.81,-43.1736,Brazil,minor,73610
Linares,-35.85,-71.6,Chile,minor,73602
Vriddhachalam,11.5,79.33,India,,73585
Harrogate,53.9919,-1.5378,United Kingdom,,73576
Copacabana,6.3333,-75.5,Colombia,minor,73574
Cacoal,-11.4386,-61.4472,Brazil,minor,73568
Cao Bang,22.6667,106.2583,Vietnam,admin,73549
Targu Jiu,45.0342,23.2747,Romania,admin,73545
Xindian,25.2814,101.5583,China,,73530
Kallakkurichchi,11.738,78.962,India,,73528
Bat Khela,34.62,71.97,Pakistan,,73525
Irece,-11.3042,-41.8558,Brazil,minor,73524
Kasama,36.3452,140.3043,Japan,,73521
Novoaltaysk,53.3833,83.9333,Russia,,73511
Kumluca,36.3667,30.2833,Turkey,minor,73496
Bandar-e Genaveh,29.5808,50.5172,Iran,minor,73472
Tupi,6.33,124.95,Philippines,,73459
Alexandria,31.2923,-92.4702,United States,,73457
Battle Creek,42.2985,-85.2296,United States,,73448
Kasipalaiyam,11.3156,77.7092,India,,73425
Lala,7.97,123.75,Philippines,,73425
Asti,44.9,8.2069,Italy,minor,73421
Inuyama,35.3786,136.9445,Japan,,73420
Pancevo,44.8739,20.6519,Serbia,admin,73401
Jose Abad Santos,5.92,125.65,Philippines,,73381
Ban Plai Bua Phatthana,13.9032,100.3989,Thailand,,73369
Bagan Si Api-api,2.1667,100.8167,Indonesia,minor,73360
Majadahonda,40.4728,-3.8722,Spain,,73355
Tavsanli,39.5333,29.4833,Turkey,minor,73306
New Britain,41.6759,-72.7862,United States,,73301
Aguilares,13.95,-89.1833,El Salvador,,73300
Reconquista,-29.2333,-59.9333,Argentina,minor,73293
Sheboygan,43.7403,-87.7316,United States,,73268
Quillota,-32.8667,-71.25,Chile,minor,73261
Fada Ngourma,12.05,0.3667,Burkina Faso,admin,73200
Otawara,36.8711,140.0156,Japan,,73189
Pacajus,-4.1725,-38.4606,Brazil,minor,73188
Shakargarh,32.2628,75.1583,Pakistan,,73160
Ragusa,36.925,14.7306,Italy,minor,73159
Brunswick,31.1449,-81.4746,United States,,73159
Ciudadela,-34.6333,-58.5333,Argentina,,73155
Bula,13.4694,123.2775,Philippines,,73143
Pattukkottai,10.43,79.32,India,,73135
Almelo,52.3567,6.6625,Netherlands,minor,73132
Gobindgarh,30.6709,76.3019,India,,73131
Edea,3.8,10.1333,Cameroon,,73128
Saint-Nazaire,47.2736,-2.2139,France,minor,73111
Brakpan,-26.2353,28.37,South Africa,,73080
Altoona,40.5082,-78.4007,United States,,73070
Shibukawa,36.3894,139.0633,Japan,,73064
Lujan de Cuyo,-32.998,-68.873,Argentina,minor,73058
Moa,20.6556,-74.9417,Cuba,minor,73053
Berdychiv,49.9,28.5667,Ukraine,minor,73046
Chaigoubu,37.7868,114.6107,China,minor,73028
Santa Rosa de Cabal,4.8667,-75.6167,Colombia,minor,73028
Santa Isabel do Para,-1.2989,-48.1608,Brazil,minor,73019
Sharm ash Shaykh,27.8519,34.305,Egypt,,73000
Lodi,38.1218,-121.2932,United States,,72996
Redlands,34.0512,-117.1712,United States,,72985
Naqadeh,36.9547,45.3881,Iran,minor,72975
Lappeenranta,61.0667,28.1833,Finland,admin,72959
San Vicente del Caguan,2.1167,-74.7667,Colombia,minor,72949
Sidi Bibi,30.2333,-9.5333,Morocco,,72929
Russas,-4.94,-37.9758,Brazil,minor,72928
La Dorada,5.4538,-74.6647,Colombia,minor,72925
Aschaffenburg,49.9667,9.15,Germany,minor,72918
Mackay,-21.1411,149.1858,Australia,,72900
Khomeyn,33.6422,50.0789,Iran,minor,72882
Joyo,34.8531,135.78,Japan,,72869
Caguas,18.2319,-66.0388,Puerto Rico,,72862
Nea Smyrni,37.95,23.7167,Greece,minor,72853
Tocoa,15.6576,-86.005,Honduras,,72847
Jingzhou,37.6911,116.2672,China,minor,72806
Caserta,41.0667,14.3333,Italy,minor,72805
Dale City,38.6473,-77.3459,United States,,72793
Chopda,21.25,75.3,India,,72783
Glen Burnie,39.156,-76.6071,United States,,72772
Paine,-33.8167,-70.75,Chile,,72759
Catanauan,13.5917,122.325,Philippines,,72752
Spijkenisse,51.8333,4.3167,Netherlands,minor,72740
Chalchuapa,13.9833,-89.6833,El Salvador,,72728
Sodertalje,59.1978,17.6272,Sweden,minor,72704
Amparo,-22.7031,-46.765,Brazil,minor,72677
Huong Tra,16.4675,107.5181,Vietnam,minor,72677
Yafran,32.0629,12.5267,Libya,,72662
Carles,11.57,123.13,Philippines,,72637
Sanwal,27.63,83.65,Nepal,,72621
Rio do Sul,-27.2139,-49.6428,Brazil,minor,72587
Sremska Mitrovica,44.9661,19.6106,Serbia,admin,72580
Gaspar,-26.9308,-48.9589,Brazil,minor,72570
Myslowice,50.2333,19.1333,Poland,minor,72553
Zhuolu,40.3753,115.215,China,minor,72538
Lanxi,46.2664,126.276,China,minor,72528
Mount Vernon,40.9136,-73.8291,United States,,72528
San Dionisio,14.4839,120.9925,Philippines,,72522
Esmeraldas,-19.7625,-44.3139,Brazil,minor,72512
Weligama,5.975,80.4297,Sri Lanka,,72511
Siruguppa,15.6,77,India,,72503
Nepalganj,28.05,81.6167,Nepal,,72503
Tangalla,6.024,80.7911,Sri Lanka,,72500
Bacacay,13.2925,123.7917,Philippines,,72485
Hekinan,34.8847,136.9934,Japan,,72480
Lakeville,44.6774,-93.252,United States,,72480
Dover,43.1887,-70.8845,United States,,72476
Lebanon,40.3412,-76.4228,United States,,72475
Ede,52.0436,5.6667,Netherlands,minor,72460
Sipalay,9.75,122.4,Philippines,,72448
Dazaifu,33.5128,130.5239,Japan,,72430
Samborondon,-2.1833,-79.8833,Ecuador,minor,72425
Longkoucun,23.5742,116.7303,China,,72421
Alegrete,-29.7839,-55.7911,Brazil,minor,72409
Bocholt,51.8333,6.6167,Germany,,72409
Keshan,48.0263,125.8659,China,minor,72403
Candeias,-12.6678,-38.5508,Brazil,minor,72382
Yukuhashi,33.7289,130.9831,Japan,,72376
Sangareddi,17.6119,78.0819,India,,72344
Rocklin,38.8075,-121.2489,United States,,72340
Zogbodome,7.0833,2.1,Benin,,72338
Wood Buffalo,57.6042,-111.3284,Canada,,72326
Kotelniki,55.6617,37.8672,Russia,minor,72311
Dambulla,7.86,80.6517,Sri Lanka,,72306
Goya,-29.1333,-59.25,Argentina,minor,72304
Oroquieta,8.48,123.8,Philippines,admin,72301
Virudunagar,9.568,77.9624,India,,72296
Abancay,-13.6333,-72.8833,Peru,admin,72277
Penafiel,41.2,-8.2833,Portugal,minor,72265
San Fernando,10.17,123.7,Philippines,,72224
Rades,36.7667,10.2833,Tunisia,,72209
Palin,14.4039,-90.6986,Guatemala,minor,72203
Tlemcen,34.8828,-1.3167,Algeria,admin,72200
Turbana,10.2833,-75.45,Colombia,minor,72168
Yoshikawa,35.8939,139.8414,Japan,,72139
El Banco,8.9983,-73.9747,Colombia,minor,72131
Warora,20.23,79.0008,India,,72126
Tibati,6.4667,12.6333,Cameroon,,72081
Sault Ste. Marie,46.5333,-84.35,Canada,,72051
Camalig,13.13,123.67,Philippines,,72042
Sakrand,26.1381,68.2731,Pakistan,,72040
Najran,17.4917,44.1322,Saudi Arabia,admin,72038
Framingham,42.3085,-71.4368,United States,,72013
Bella Vista,-34.5333,-58.6667,Argentina,,72000
Bailongqiaocun,29.0767,119.5517,China,,72000
Colon,22.7225,-80.9067,Cuba,minor,72000
Chaklasi,22.65,72.93,India,,72000
Nilanga,18.1161,76.7525,India,,72000
Belo Tsiribihina,-19.7016,44.5465,Madagascar,,72000
Myaydo,19.3667,95.2167,Burma,,72000
Haka,22.6455,93.605,Burma,,72000
Al Lith,20.148,40.2722,Saudi Arabia,,72000
Sonsonate,13.7167,-89.7167,El Salvador,admin,71980
Shostka,51.8667,33.4833,Ukraine,minor,71966
Wesley Chapel,28.2106,-82.3238,United States,,71965
Long My,9.6814,105.5708,Vietnam,minor,71963
Borongan,11.6094,125.4361,Philippines,admin,71961
San Andres,12.5847,-81.7006,Colombia,admin,71946
Wenping,27.1931,103.5273,China,minor,71943
Gumaca,13.921,122.1002,Philippines,,71942
Noblesville,40.0355,-86.0042,United States,,71940
Stara Pazova,44.9833,20.1667,Serbia,admin,71931
Ararangua,-28.935,-49.4858,Brazil,minor,71922
Esbjerg,55.467,8.45,Denmark,minor,71921
Goianira,-16.4958,-49.4258,Brazil,minor,71916
La Lima,15.4402,-87.9278,Honduras,,71910
Chiryu,35.0014,137.0506,Japan,,71907
Tamarac,26.2056,-80.2539,United States,,71887
Centreville,38.839,-77.4389,United States,,71885
Cacak,43.8914,20.3497,Serbia,admin,71883
Quilandi,11.439,75.695,India,,71873
Carpi,44.7833,10.885,Italy,,71869
Sao Tome,0.3361,6.7306,Sao Tome and Principe,primary,71868
Mun'gyong,36.5939,128.2014,"Korea, South",,71863
Ishioka,36.1908,140.2872,Japan,,71851
Marousi,38.05,23.8,Greece,minor,71830
Jabuticabal,-21.255,-48.3219,Brazil,minor,71821
Castro,-24.7893,-50.0123,Brazil,minor,71809
Calauag,13.9575,122.2875,Philippines,,71809
Bozuyuk,39.9078,30.0367,Turkey,minor,71806
Cajamar,-23.3561,-46.8769,Brazil,minor,71805
Sao Sebastiao do Paraiso,-20.9169,-46.9908,Brazil,minor,71796
Kresek,-6.1314,106.38,Indonesia,,71795
Patzun,14.6833,-91.0167,Guatemala,minor,71790
Kabarore,-1.6306,30.3787,Rwanda,,71769
Sambrial,32.16,74.4,Pakistan,,71766
Pila,53.15,16.7333,Poland,minor,71735
Dondo,-9.6942,14.4228,Angola,,71715
Shrewsbury,52.708,-2.754,United Kingdom,,71715
Mazabuka,-15.8467,27.7475,Zambia,,71700
Manikganj,23.8614,90.0003,Bangladesh,,71698
Florida,21.5294,-78.2228,Cuba,minor,71676
Poinciana,28.1217,-81.4821,United States,,71665
Agios Dimitrios,37.9333,23.7333,Greece,minor,71664
Noisy-le-Grand,48.8478,2.5528,France,,71632
Kayes,-4.1683,13.2933,Congo (Brazzaville),,71620
Sertolovo,60.15,30.2167,Russia,,71614
Calarca,4.5333,-75.65,Colombia,minor,71605
Tarin Kot,32.6267,65.8733,Afghanistan,admin,71604
Bakixanov,40.4217,49.9644,Azerbaijan,,71600
Kawm Umbu,24.4667,32.95,Egypt,,71596
Mandla,22.5978,80.3714,India,,71579
Palmeira dos Indios,-9.4069,-36.6278,Brazil,minor,71574
Ostend,51.2258,2.9194,Belgium,minor,71557
Saymayl,36.8582,42.8482,Iraq,minor,71557
Fairbanks,64.8353,-147.6533,United States,,71555
Indaial,-26.8978,-49.2319,Brazil,minor,71549
Anzhero-Sudzhensk,56.0833,86.0333,Russia,,71547
La Estrella,6.1667,-75.6667,Colombia,minor,71545
Pililla,14.48,121.3,Philippines,,71535
Santo Tirso,41.3425,-8.4775,Portugal,minor,71530
Gosport,50.79,-1.12,United Kingdom,,71529
Lake Elsinore,33.6847,-117.3344,United States,,71516
Kirovo-Chepetsk,58.55,50,Russia,minor,71498
Parang,5.92,120.92,Philippines,,71495
Dias d'Avila,-12.6128,-38.2969,Brazil,minor,71485
Lomas del Mirador,-34.6667,-58.5297,Argentina,,71479
Nanfengcun,23.746,111.7966,China,,71479
Salama,15.1,-90.2667,Guatemala,admin,71478
Camden,39.9361,-75.1073,United States,,71471
Biankouma,7.7333,-7.6167,Côte d’Ivoire,minor,71470
Korgas,44.2125,80.4097,China,minor,71466
Lisburn,54.512,-6.031,United Kingdom,,71465
Ludenscheid,51.2167,7.6333,Germany,minor,71463
Rayadrug,14.6997,76.8524,India,,71445
Mamoudzou,-12.7806,45.2278,Mayotte,primary,71437
Halmstad,56.6718,12.8556,Sweden,admin,71422
Rogers,36.317,-94.1531,United States,,71411
Binalbagan,10.2,122.87,Philippines,,71407
Shahrixon,40.7167,72.05,Uzbekistan,minor,71400
Bilara,26.1792,73.7056,India,,71396
Villa Tunari,-16.9747,-65.4203,Bolivia,,71386
Huanchaco,-7.7,-79.4333,Peru,,71379
Campo Formoso,-10.5089,-40.3208,Brazil,minor,71377
Sagunto,39.68,-0.2783,Spain,,71377
Goa,15.2993,74.1240,India,,00000
Erd,47.3833,18.9167,Hungary,minor,71338
Drancy,48.93,2.45,France,,71312
Vyborg,60.7167,28.7667,Russia,minor,71279
Talibon,10.12,124.28,Philippines,,71272
Las Piedras,-34.7167,-56.2167,Uruguay,,71268
Ganthier,18.5316,-72.0633,Haiti,,71261
Blaine,45.1696,-93.2077,United States,,71261
Jinsha,23.5286,116.615,China,,71240
Parappanangadi,11.0497,75.8575,India,,71239
Konongo,6.6167,-1.2167,Ghana,,71238
Waingapu,-9.65,120.2667,Indonesia,minor,71218
Gela,37.0667,14.25,Italy,,71217
Placetas,22.3158,-79.6556,Cuba,minor,71208
Rayagada,19.17,83.42,India,,71208
Melong,5.1211,9.9528,Cameroon,,71189
Fernandopolis,-20.2839,-50.2458,Brazil,minor,71186
Musashimurayama,35.7548,139.3874,Japan,,71183
Morong,14.5127,121.2385,Philippines,,71151
San Francisco del Rincon,21.0228,-101.86,Mexico,minor,71139
Gibara,21.1072,-76.1367,Cuba,minor,71126
Ratangarh,28.0787,74.6219,India,,71124
Wilmington,39.7415,-75.5416,United States,,71124
Tandur,17.2576,77.5875,India,,71108
Hala,25.81,68.43,Pakistan,,71094
Bakhmut,48.5947,38.0008,Ukraine,minor,71094
Markapur,15.73,79.26,India,,71092
Terme,41.2092,36.9739,Turkey,minor,71092
Bunbury,-33.3272,115.6369,Australia,,71090
Sihanoukville,10.6333,103.5,Cambodia,admin,71082
Mauban,14.1911,121.7308,Philippines,,71081
Tejupilco,18.9058,-100.1528,Mexico,minor,71077
Goianesia,-15.3175,-49.1175,Brazil,minor,71075
Alabang,14.4184,121.0385,Philippines,,71075
Montecristi,-1.05,-80.6667,Ecuador,,71066
Nadi,-17.8,177.4167,Fiji,,71048
St. Charles,38.7954,-90.5157,United States,,71048
Blacksburg,37.23,-80.4279,United States,,71014
An Nu`maniyah,32.5562,45.4129,Iraq,minor,71000
Abu Tij,27.0442,31.3189,Egypt,,70969
Juayua,13.8333,-89.7333,El Salvador,,70959
Malaut,30.19,74.499,India,,70958
Samraong,14.25,103.5833,Cambodia,admin,70944
Kopargo,9.8375,1.5481,Benin,,70938
Torremolinos,36.6218,-4.5003,Spain,,70933
Kodungallur,10.2338,76.1946,India,,70868
Corozal,9.3333,-75.25,Colombia,minor,70853
Gwadar,25.1264,62.3225,Pakistan,minor,70852
Neyyattinkara,8.4,77.08,India,,70850
Kumanovo,42.1322,21.7144,North Macedonia,admin,70842
Dondo,-19.6167,34.75,Mozambique,,70817
Ejura,7.3856,-1.3562,Ghana,,70807
Sesvete,45.8311,16.1164,Croatia,,70800
Zadar,44.117,15.2355,Croatia,admin,70779
Waukesha,43.0087,-88.2464,United States,,70779
Bapatla,15.9044,80.4675,India,,70777
Fatehabad,29.52,75.45,India,,70777
Kalamasseri,10.052,76.3158,India,,70776
Casas Adobes,32.3423,-111.0113,United States,,70770
Tumauini,17.27,121.8,Philippines,,70743
Ostrow Wielkopolski,51.6494,17.8164,Poland,minor,70725
Baldwin Park,34.0829,-117.9722,United States,,70720
Sirvan,39.9323,48.9203,Azerbaijan,,70684
Al Qurayya,34.9563,40.5414,Syria,,70680
Gardez,33.6,69.2169,Afghanistan,admin,70641
Cremona,45.1333,10.0247,Italy,minor,70637
Pavia,45.1853,9.155,Italy,minor,70636
Paphos,34.7667,32.4167,Cyprus,admin,70635
Rugby,52.37,-1.26,United Kingdom,,70627
Badvel,14.75,79.05,India,,70626
Loule,37.144,-8.0235,Portugal,minor,70622
Yinying,37.941,113.5602,China,minor,70614
Longzhou,38.4348,114.5465,China,minor,70614
Karasu,41.1036,30.6936,Turkey,minor,70600
Poblacion,10.25,123.95,Philippines,,70595
Shujaabad,29.8792,71.3028,Pakistan,,70595
Stafford,52.807,-2.117,United Kingdom,,70592
